year_published_scielo,subject,language,prop
2011,Human Sciences,en,0.009943789367893328
2011,"Linguistics, Letters and Arts",en,0.0013731287468885486
2011,NA,en,6.135256103119048e-5
2012,Agricultural Sciences,en,0.03839590774761048
2012,Applied Social Sciences,en,0.008843297982021417
2012,Biological Sciences,en,0.046914966559955786
2012,Engineering,en,0.01852140471628547
2012,Exact and Earth Sciences,en,0.02228014587609973
2012,Health Sciences,en,0.0944440151075567
2012,Human Sciences,en,0.01612441148286835
2012,"Linguistics, Letters and Arts",en,0.0029562269845563208
2013,Agricultural Sciences,en,0.036590058628360296
2013,Applied Social Sciences,en,0.008474366587490102
2013,Biological Sciences,en,0.04627406716183438
2013,Engineering,en,0.023932805175382373
2013,Exact and Earth Sciences,en,0.023837958250072264
2013,Health Sciences,en,0.09340694083122823
2013,Human Sciences,en,0.018647494627304605
2013,"Linguistics, Letters and Arts",en,0.001978628611645239
2014,Agricultural Sciences,en,0.03452420381116404
2014,Applied Social Sciences,en,0.010551217226396995
2014,Biological Sciences,en,0.04374141548809796
2014,Engineering,en,0.022939515618861168
2014,Exact and Earth Sciences,en,0.020266597832856507
2014,Health Sciences,en,0.08820409645285077
2014,Human Sciences,en,0.02421034757218876
2014,"Linguistics, Letters and Arts",en,0.0017335500687111428
2015,Agricultural Sciences,en,0.03637945420596978
2015,Applied Social Sciences,en,0.012715495157432042
2015,Biological Sciences,en,0.04803536157352793
2015,Engineering,en,0.029131944391863614
2015,Exact and Earth Sciences,en,0.02603798337974748
2015,Health Sciences,en,0.09605226727683981
2015,Human Sciences,en,0.033966782967042676
2015,"Linguistics, Letters and Arts",en,0.0021661197419383495
2016,Agricultural Sciences,en,0.04795159037765929
2016,Applied Social Sciences,en,0.01791843419700715
2016,Biological Sciences,en,0.043911702685774164
2016,Engineering,en,0.02586992284630152
2016,Exact and Earth Sciences,en,0.019742060464433584
2016,Health Sciences,en,0.09688980056880689
2016,Human Sciences,en,0.027791571659640146
2016,"Linguistics, Letters and Arts",en,0.003388462840808188
2017,Agricultural Sciences,en,0.04752762148010165
2017,Applied Social Sciences,en,0.015695994085226508
2017,Biological Sciences,en,0.040102788393217216
2017,Engineering,en,0.03996724150071374
2017,Exact and Earth Sciences,en,0.03133144815931481
2017,Health Sciences,en,0.09578724418924715
2017,Human Sciences,en,0.026385666916316195
2017,"Linguistics, Letters and Arts",en,0.0029465846023851135
2018,Agricultural Sciences,en,0.05314725433491993
2018,Applied Social Sciences,en,0.018697037271598056
2018,Biological Sciences,en,0.0388509084542049
2018,Engineering,en,0.028616996185668746
2018,Exact and Earth Sciences,en,0.021726023860454937
2018,Health Sciences,en,0.09280959335071672
2018,Human Sciences,en,0.024213187211571858
2018,"Linguistics, Letters and Arts",en,0.0035422743965679094
2019,Agricultural Sciences,en,0.059505411317243566
2019,Applied Social Sciences,en,0.02027366737130778
2019,Biological Sciences,en,0.03771390890813276
2019,Engineering,en,0.0324626662640146
2019,Exact and Earth Sciences,en,0.023079512899829416
2019,Health Sciences,en,0.10659186316359372
2019,Human Sciences,en,0.027213566109755335
2019,"Linguistics, Letters and Arts",en,0.005048794356341634
2020,Agricultural Sciences,en,0.05866788627942723
2020,Applied Social Sciences,en,0.02118776338379897
2020,Biological Sciences,en,0.039517205352564005
2020,Engineering,en,0.02868703696035409
2020,Exact and Earth Sciences,en,0.02292622475346728
2020,Health Sciences,en,0.11609565005961804
2020,Human Sciences,en,0.029035861782411316
2020,"Linguistics, Letters and Arts",en,0.0052793553819217715
2021,Agricultural Sciences,en,0.052329078538138105
2021,Applied Social Sciences,en,0.020198078273638512
2021,Biological Sciences,en,0.04591268321157232
2021,Engineering,en,0.03071444532610976
2021,Exact and Earth Sciences,en,0.023422845164369776
2021,Health Sciences,en,0.12972485201703743
2021,Human Sciences,en,0.028948606512770467
2021,"Linguistics, Letters and Arts",en,0.004604611109590998
2101,Human Sciences,en,1
