UT,noun_phrase,n
WOS:000216434100001,submicron range,1
WOS:000216434100001,unit length,1
WOS:000216434100001,various stripline,1
WOS:000216434100001,wide,1
WOS:000216434100001,width,1
WOS:000254740500025,active routing,1
WOS:000254740500025,addition,1
WOS:000254740500025,advantageous performance,1
WOS:000254740500025,afterpulsing,1
WOS:000254740500025,array,1
WOS:000254740500025,background count,1
WOS:000254740500025,control circuit,1
WOS:000254740500025,counting detector,2
WOS:000254740500025,dark count,1
WOS:000254740500025,detection system,1
WOS:000254740500025,detector,3
WOS:000254740500025,detector deadtime,1
WOS:000254740500025,difficulty,1
WOS:000254740500025,direct input light,1
WOS:000254740500025,experimental progress,1
WOS:000254740500025,experimental result,1
WOS:000254740500025,fast develop quantum metrology,1
WOS:000254740500025,group,1
WOS:000254740500025,high rate,1
WOS:000254740500025,highest photon,1
WOS:000254740500025,important technological challenge,1
WOS:000254740500025,integrated device,1
WOS:000254740500025,intelligent active management,1
WOS:000254740500025,last firing,1
WOS:000254740500025,method,1
WOS:000254740500025,most time,1
WOS:000254740500025,optical switch,1
WOS:000254740500025,passive multi-detector detection system,1
WOS:000254740500025,photon,4
WOS:000254740500025,quantum key distribution application,1
WOS:000254740500025,rate,1
WOS:000254740500025,reduction,1
WOS:000254740500025,scheme,3
WOS:000254740500025,single photon,1
WOS:000254740500025,system,1
WOS:000259460100003,addition,1
WOS:000259460100003,algorithm,2
WOS:000259460100003,computation,1
WOS:000259460100003,computation feedback,1
WOS:000259460100003,computational assistance,1
WOS:000259460100003,drag gesture,1
WOS:000259460100003,editing,1
WOS:000259460100003,entry,1
WOS:000259460100003,fluid pen,1
WOS:000259460100003,fluid support,1
WOS:000259460100003,gesture,1
WOS:000259460100003,input,1
WOS:000259460100003,interactive computation,2
WOS:000259460100003,like environment,1
WOS:000259460100003,mathematical expressions,1
WOS:000259460100003,mathematical sketching,1
WOS:000259460100003,mathematics,1
WOS:000259460100003,mathpaper,2
WOS:000259460100003,multiple mathematical expression,1
WOS:000259460100003,notation,1
WOS:000259460100003,page,1
WOS:000259460100003,paper,1
WOS:000259460100003,present mathpaper,1
WOS:000259460100003,simple deletion,1
WOS:000259460100003,support,1
WOS:000259460100003,system,1
WOS:000259460100003,time recognition,1
WOS:000259460100003,user-friendly system,1
WOS:000260498401729,fiber,1
WOS:000260498401729,measurement,1
WOS:000260498401729,microstructure,1
WOS:000260498401729,photon source,1
WOS:000260498401729,unconditional g,1
WOS:000260760200001,'squeezing operation,1
WOS:000260760200001,beam splitter operation,1
WOS:000260760200001,characterization,1
WOS:000260760200001,degree,1
WOS:000260760200001,density matrix,1
WOS:000260760200001,dependent linear coupling,1
WOS:000260760200001,electrical resonator,2
WOS:000260760200001,electrical resonator modes,1
WOS:000260760200001,element electrical resonator,1
WOS:000260760200001,entanglement,3
WOS:000260760200001,finite temperatur,1
WOS:000260760200001,logarithmic negativity,1
WOS:000260760200001,macroscopic quantum resonator mode,1
WOS:000260760200001,macroscopic quantum resonator time,1
WOS:000260760200001,microwave voltage,1
WOS:000260760200001,nanomechanical resonator,1
WOS:000260760200001,nanomechanical resonator state,1
WOS:000260760200001,operation,1
WOS:000260760200001,optical system,1
WOS:000260760200001,other resonator mode,1
WOS:000260760200001,parametic amplification,1
WOS:000260760200001,parametric coupling,1
WOS:000260760200001,probe,1
WOS:000260760200001,quantum operation,1
WOS:000260760200001,quantum resonator modes,1
WOS:000260760200001,rf squid,1
WOS:000260760200001,such coupling scheme,1
WOS:000260760200001,system,1
WOS:000260760200001,tunable coupler,1
WOS:000260936100005,case,1
WOS:000260936100005,computation,1
WOS:000260936100005,computational speedup,1
WOS:000260936100005,correlation,1
WOS:000260936100005,efficient classical simulation,1
WOS:000260936100005,efficient model,1
WOS:000260936100005,entanglement,2
WOS:000260936100005,entanglement deterministic quantum computation,1
WOS:000260936100005,experimental quantum,1
WOS:000260936100005,generation,1
WOS:000260936100005,large amount,2
WOS:000260936100005,letter,1
WOS:000260936100005,mix state,1
WOS:000260936100005,optical architecture,1
WOS:000260936100005,other nonclassical correlation,1
WOS:000260936100005,power,1
WOS:000260936100005,pure qubit,1
WOS:000260936100005,quantum discord,1
WOS:000260936100005,quantum discord -except,1
WOS:000260936100005,quantum information technology,1
WOS:000260936100005,quantum mechanical correlation,1
WOS:000260936100005,result,1
WOS:000260936100005,state,1
WOS:000260936100005,state model,1
WOS:000260936100005,valuable resource,1
WOS:000261214500080,binary,2
WOS:000261214500080,continuum,1
WOS:000261214500080,definition,1
WOS:000261214500080,detector,3
WOS:000261214500080,imperfect fidelity,1
WOS:000261214500080,indirect projective measurement,1
WOS:000261214500080,linear detector,1
WOS:000261214500080,outcome detector,1
WOS:000261214500080,outcome qubit detector,1
WOS:000261214500080,outcome regime,1
WOS:000261214500080,phase qubit,1
WOS:000261214500080,quantum efficiency,3
WOS:000261214500080,quantum nondemolition detector,1
WOS:000261214500080,several model,1
WOS:000261214500080,state qubit,1
WOS:000261214500080,subclass,1
WOS:000261215600150,analysis,1
WOS:000261215600150,atomic vapor,1
WOS:000261215600150,diameter,2
WOS:000261215600150,evanescent field,1
WOS:000261215600150,fiber,1
WOS:000261215600150,function,1
WOS:000261215600150,incident light,1
WOS:000261215600150,large overlap,1
WOS:000261215600150,photon absorption,3
WOS:000261215600150,photon absorption rate,1
WOS:000261215600150,rate,2
WOS:000261215600150,region,2
WOS:000261215600150,small mode volume,1
WOS:000261215600150,taper optical fiber,1
WOS:000261215600150,tapered optical fiber,1
WOS:000261215600150,wavelength,1
WOS:000261431200051,double quantum dot,1
WOS:000261431200051,measurement,1
WOS:000261431200051,overhauser field,1
WOS:000261431200051,temporal correlation,1
WOS:000261704100001,agreement,1
WOS:000261704100001,average photon number,1
WOS:000261704100001,coherent state,2
WOS:000261704100001,decay,1
WOS:000261704100001,decay dynamics,1
WOS:000261704100001,decay process,1
WOS:000261704100001,dissipation,1
WOS:000261704100001,fock state,3
WOS:000261704100001,generation,1
WOS:000261704100001,lifetime,1
WOS:000261704100001,master equation,1
WOS:000261704100001,measurement,1
WOS:000261704100001,microwave coplanar waveguide resonator,1
WOS:000261704100001,microwave resonator,1
WOS:000261704100001,number,1
WOS:000261704100001,photon,1
WOS:000261704100001,photon fock state,1
WOS:000261704100001,photon fock state scale,1
WOS:000261704100001,poisson distribution,1
WOS:000261704100001,quantum circuit,1
WOS:000261704100001,same characteristic decay time,1
WOS:000261704100001,state,1
WOS:000261704100001,state analysis,1
WOS:000261704100001,subsequent decay,1
WOS:000261704100001,superconducting phase qubit,1
WOS:000261704100001,theory,1
WOS:000261704100001,time delay,1
WOS:000261761300015,advanced crystalline tunnel barrier,1
WOS:000261761300015,advanced tunnel barrier material,2
WOS:000261761300015,circuit design,1
WOS:000261761300015,circuit yield,1
WOS:000261761300015,control,1
WOS:000261761300015,critical current density,2
WOS:000261761300015,crystalline josephson junction,1
WOS:000261761300015,evaluation,2
WOS:000261761300015,fabrication run,1
WOS:000261761300015,factor,1
WOS:000261761300015,josephson phase qubit,1
WOS:000261761300015,new design,1
WOS:000261761300015,performance,1
WOS:000261761300015,phase qubit circuit,1
WOS:000261761300015,problem,1
WOS:000261761300015,quantum bit circuit,1
WOS:000261761300015,quantum bits,1
WOS:000261761300015,tunnel barrier qubit,1
WOS:000261761300015,variation,1
WOS:000262504200014,activation barrier,1
WOS:000262504200014,device,1
WOS:000262504200014,drifting species,1
WOS:000262504200014,exponential dependence,1
WOS:000262504200014,exponential ionic drift,1
WOS:000262504200014,fast switching,1
WOS:000262504200014,film memristor,2
WOS:000262504200014,high electric fields,1
WOS:000262504200014,ion migration,1
WOS:000262504200014,large ratio,1
WOS:000262504200014,low volatility,1
WOS:000262504200014,nonlinear ionic drift model,1
WOS:000262504200014,resistance,1
WOS:000262504200014,simulation result,1
WOS:000262504200014,speed,2
WOS:000262504200014,state lifetime,1
WOS:000262504200014,temperature,1
WOS:000262504200014,time,1
WOS:000262504200014,various material system,1
WOS:000262504200014,volatility,1
WOS:000262587900037,distant matter qubit,1
WOS:000262587900037,quantum teleportation,1
WOS:000262978600004,complex sequence,1
WOS:000262978600004,control qubit,1
WOS:000262978600004,experimental realization,1
WOS:000262978600004,faster execution,1
WOS:000262978600004,higher fidelity,1
WOS:000262978600004,implementation,1
WOS:000262978600004,important multiqubit operation,1
WOS:000262978600004,ion gate,1
WOS:000262978600004,ion string,1
WOS:000262978600004,ion trap quantum computer,1
WOS:000262978600004,mean gate fidelity,1
WOS:000262978600004,motion,1
WOS:000262978600004,operation,1
WOS:000262978600004,quantum toffoli gate,3
WOS:000262978600004,qubit,1
WOS:000262978600004,qubit gate,1
WOS:000262978600004,realization,1
WOS:000262978600004,relevant logic information,1
WOS:000262978600004,state,1
WOS:000262978600004,target,1
WOS:000263041100002,amplitude pulse shaping,1
WOS:000263041100002,bell state,1
WOS:000263041100002,bichromatic laser beam,1
WOS:000263041100002,claim,1
WOS:000263041100002,compensation,1
WOS:000263041100002,concatenation,1
WOS:000263041100002,detailed description,1
WOS:000263041100002,deterministic entanglement,1
WOS:000263041100002,dicke criterion,1
WOS:000263041100002,different input state,1
WOS:000263041100002,entangling gate,1
WOS:000263041100002,error rate,1
WOS:000263041100002,experimental evidence,1
WOS:000263041100002,fast gate operation,1
WOS:000263041100002,fidelity,1
WOS:000263041100002,ground state cool,1
WOS:000263041100002,implementation,1
WOS:000263041100002,individual gate operation reveal,1
WOS:000263041100002,internal state,1
WOS:000263041100002,lamb,1
WOS:000263041100002,mean phonon number,1
WOS:000263041100002,mode couple,1
WOS:000263041100002,molmer,1
WOS:000263041100002,motion,2
WOS:000263041100002,principle,1
WOS:000263041100002,quadrupole transition,1
WOS:000263041100002,sorensen gate,1
WOS:000263041100002,stark shift,1
WOS:000263041100002,state fidelity,1
WOS:000263041100002,thermal state,2
WOS:000263458500013,atom,2
WOS:000263458500013,block excitation,1
WOS:000263458500013,blockay,1
WOS:000263458500013,body regime,1
WOS:000263458500013,cold atom,2
WOS:000263458500013,control,1
WOS:000263458500013,dipolar interaction,2
WOS:000263458500013,double excitation,1
WOS:000263458500013,electron,1
WOS:000263458500013,entanglement,1
WOS:000263458500013,excitation,1
WOS:000263458500013,excited atom,1
WOS:000263458500013,excited rubidium,1
WOS:000263458500013,experimental imperfection,1
WOS:000263458500013,flow,1
WOS:000263458500013,interaction,1
WOS:000263458500013,mechanism,2
WOS:000263458500013,monte carlo simulation,1
WOS:000263458500013,more particle,1
WOS:000263458500013,mu m,1
WOS:000263458500013,novel approach,1
WOS:000263458500013,number,1
WOS:000263458500013,observation,1
WOS:000263458500013,observed probability,1
WOS:000263458500013,other particle,1
WOS:000263458500013,photon,1
WOS:000263458500013,quantum dynamics,1
WOS:000263458500013,quantum protocol,1
WOS:000263458500013,quantum state,1
WOS:000263458500013,rydberg atom,1
WOS:000263458500013,rydberg blockade,3
WOS:000263458500013,rydberg interaction,1
WOS:000263458500013,second atom,1
WOS:000263458500013,several decade,1
WOS:000263458500013,single pair,1
WOS:000263458500013,single particle,1
WOS:000263458500013,single rydberg,1
WOS:000263458500013,strong interaction,1
WOS:000263458500013,theoretical model,1
WOS:000263458500014,atom,2
WOS:000263458500014,atom behaviour,1
WOS:000263458500014,atom excitation,1
WOS:000263458500014,basic tool,1
WOS:000263458500014,blockade,1
WOS:000263458500014,body physic,1
WOS:000263458500014,collective excitation,1
WOS:000263458500014,crucial step,1
WOS:000263458500014,deterministic manipulation,1
WOS:000263458500014,distance,1
WOS:000263458500014,entanglement,2
WOS:000263458500014,excitation,2
WOS:000263458500014,excited electronic state,1
WOS:000263458500014,extensive study,1
WOS:000263458500014,fundamental study,1
WOS:000263458500014,ground,1
WOS:000263458500014,individual atom,1
WOS:000263458500014,interaction,1
WOS:000263458500014,large dipole moment,1
WOS:000263458500014,more atom,1
WOS:000263458500014,mu m,1
WOS:000263458500014,neutral atom,2
WOS:000263458500014,observation,2
WOS:000263458500014,optical tweezers,1
WOS:000263458500014,phenomenon,1
WOS:000263458500014,possible implication,1
WOS:000263458500014,quantum -information,1
WOS:000263458500014,quantum metrology,1
WOS:000263458500014,quantum physic,1
WOS:000263458500014,quantum system,1
WOS:000263458500014,quantum-information science,1
WOS:000263458500014,rydberg blockade,2
WOS:000263458500014,rydberg blockay,1
WOS:000263458500014,rydberg blockay regime,1
WOS:000263458500014,rydberg level,1
WOS:000263458500014,same driving pulse,1
WOS:000263458500014,several atom,1
WOS:000263458500014,simultaneous excitation,1
WOS:000263458500014,state,1
WOS:000263458500014,study,1
WOS:000263458500014,system,1
WOS:000263815000061,accurate microwave control,1
WOS:000263815000061,additional decoherence,1
WOS:000263815000061,atom qubit,1
WOS:000263815000061,atomic qubit,1
WOS:000263815000061,combination,1
WOS:000263815000061,composite rotation,1
WOS:000263815000061,current experiment,1
WOS:000263815000061,dynamics,1
WOS:000263815000061,ensemble,1
WOS:000263815000061,error,1
WOS:000263815000061,fidelity,1
WOS:000263815000061,microwave radiation,1
WOS:000263815000061,normal operation,1
WOS:000263815000061,optical lattice,1
WOS:000263815000061,optical probe polarimetry,1
WOS:000263815000061,performance,1
WOS:000263815000061,pulse sequence,1
WOS:000263815000061,qubit,1
WOS:000263815000061,qubit control,1
WOS:000263815000061,qubit gate,1
WOS:000263815000061,qubit pi rotation,1
WOS:000263815000061,real -time diagnostic,1
WOS:000263815000061,robustness,1
WOS:000263815000061,significant performance,1
WOS:000263815000061,small intrinsic error,1
WOS:000263815000061,systematic error,1
WOS:000263815000061,time diagnostic,1
WOS:000263816200016,atom,1
WOS:000263816200016,atomic position,1
WOS:000263816200016,bunch,1
WOS:000263816200016,coherent input,1
WOS:000263816200016,efficient routing,1
WOS:000263816200016,excess photon,1
WOS:000263816200016,fiber,2
WOS:000263816200016,high efficiency,1
WOS:000263816200016,individual cesium atom,1
WOS:000263816200016,input power,1
WOS:000263816200016,input-output,1
WOS:000263816200016,intracavity photon number,1
WOS:000263816200016,large variation,1
WOS:000263816200016,light,1
WOS:000263816200016,microtoroidal cavity,1
WOS:000263816200016,microtoroidal cavity single photon,1
WOS:000263816200016,observation,1
WOS:000263816200016,observed photon antibunching,1
WOS:000263816200016,overcoupled regime,1
WOS:000263816200016,photon antibunching,1
WOS:000263816200016,photon router,1
WOS:000263816200016,photon sorting,1
WOS:000263816200016,quantum router,1
WOS:000263816200016,separate output,1
WOS:000263816200016,single photon,2
WOS:000263816200016,system function,1
WOS:000265412900035,alternative strategy,1
WOS:000265412900035,ambient noise environment,1
WOS:000265412900035,application,1
WOS:000265412900035,arbitrary pulse sequence,1
WOS:000265412900035,benchmark multi-pulse spin echo,1
WOS:000265412900035,context,1
WOS:000265412900035,dynamical decoupling technique,1
WOS:000265412900035,error,2
WOS:000265412900035,error rate,1
WOS:000265412900035,error suppression,1
WOS:000265412900035,experimental data,1
WOS:000265412900035,extension,1
WOS:000265412900035,fault,1
WOS:000265412900035,fidelity,1
WOS:000265412900035,latter sequence,1
WOS:000265412900035,magnetic resonance,1
WOS:000265412900035,magnitude,1
WOS:000265412900035,massive suppression,1
WOS:000265412900035,measurement,1
WOS:000265412900035,model quantum memory,1
WOS:000265412900035,model quantum system,1
WOS:000265412900035,need,2
WOS:000265412900035,nonidealize control pulse,1
WOS:000265412900035,novel sequence,1
WOS:000265412900035,optimize dynamical decoupling,1
WOS:000265412900035,optimized dynamical decoupling,1
WOS:000265412900035,order,2
WOS:000265412900035,priori knowledge,1
WOS:000265412900035,pulse sequence,2
WOS:000265412900035,quantum bit,1
WOS:000265412900035,quantum error correction techniques,1
WOS:000265412900035,quantum information,2
WOS:000265412900035,quantum operation,1
WOS:000265412900035,quantum system,2
WOS:000265412900035,qubit,1
WOS:000265412900035,qubit decoherence,1
WOS:000265412900035,qubit error rate,1
WOS:000265412900035,qubit memory error suppression,1
WOS:000265412900035,qubit technology,2
WOS:000265412900035,random phase error,1
WOS:000265412900035,realistic condition,1
WOS:000265412900035,realization,1
WOS:000265412900035,resource requirement,1
WOS:000265412900035,result,1
WOS:000265412900035,robustness,1
WOS:000265412900035,search,1
WOS:000265412900035,sequence,1
WOS:000265412900035,strong agreement,1
WOS:000265412900035,such low error rate,1
WOS:000265412900035,theory,1
WOS:000265412900035,time experimental feedback,1
WOS:000265412900035,tolerance error threshold,1
WOS:000265412900035,tractable quantum information system,1
WOS:000265412900035,treatment,1
WOS:000265412900035,variety,2
WOS:000265412900035,work,1
WOS:000265678400043,bennett brassard 1984,1
WOS:000265678400043,decoy level,2
WOS:000265678400043,distance experiment,1
WOS:000265678400043,factor,1
WOS:000265678400043,increase,1
WOS:000265678400043,key distribution,1
WOS:000265678400043,laboratory,1
WOS:000265678400043,limitation,1
WOS:000265678400043,noise,1
WOS:000265678400043,optical fibre,1
WOS:000265678400043,photon detector,1
WOS:000265678400043,poor detector performance,1
WOS:000265678400043,potential,1
WOS:000265678400043,practical long -distance quantum key distribution system,1
WOS:000265678400043,practical operation,1
WOS:000265678400043,practical qkd system,1
WOS:000265678400043,previous record,1
WOS:000265678400043,protocol,1
WOS:000265678400043,real world,1
WOS:000265678400043,record,1
WOS:000265678400043,result,1
WOS:000265678400043,robust qkd system,1
WOS:000265678400043,secret key,1
WOS:000265678400043,secure key generation,1
WOS:000265678400043,snspd,1
WOS:000265678400043,synchronization,1
WOS:000265678400043,unconditional security,1
WOS:000265678400043,world application,1
WOS:000265678400046,classical channel,1
WOS:000265678400046,classical channel parameter,1
WOS:000265678400046,classical optical channel,1
WOS:000265678400046,classical signal,1
WOS:000265678400046,classical telecom channel,1
WOS:000265678400046,co-propagation,1
WOS:000265678400046,dedicated link,1
WOS:000265678400046,dominant noise mechanism,1
WOS:000265678400046,impairment,1
WOS:000265678400046,key distribution,1
WOS:000265678400046,magnitude,1
WOS:000265678400046,mitigation strategy,1
WOS:000265678400046,multiplexing,1
WOS:000265678400046,network,2
WOS:000265678400046,nm qkd,1
WOS:000265678400046,nm quantum channel,1
WOS:000265678400046,noise,1
WOS:000265678400046,optical path characteristic,1
WOS:000265678400046,power level many order,1
WOS:000265678400046,presence,1
WOS:000265678400046,product,1
WOS:000265678400046,quantum,2
WOS:000265678400046,quantum channel,1
WOS:000265678400046,quantum communication signal,1
WOS:000265678400046,reconfigurable networking environment,1
WOS:000265678400046,reconfigurable optical add drop multiplexer,1
WOS:000265678400046,roadm,1
WOS:000265678400046,spontaneous raman scattering,1
WOS:000265678400046,strong classical channel,1
WOS:000265678400046,technology,1
WOS:000265678400046,transmission,1
WOS:000265678400046,wave mixing,1
WOS:000265832400040,advance,1
WOS:000265832400040,bipartite component,1
WOS:000265832400040,characterization,2
WOS:000265832400040,detection,1
WOS:000265832400040,distinct optical mode,1
WOS:000265832400040,entanglement,1
WOS:000265832400040,entanglement verification protocol,1
WOS:000265832400040,hilbert space,1
WOS:000265832400040,interest,1
WOS:000265832400040,mode entanglement,1
WOS:000265832400040,multipartite entanglement,2
WOS:000265832400040,multipartite quantum state,1
WOS:000265832400040,observation,1
WOS:000265832400040,optical mode access,1
WOS:000265832400040,phase noise,1
WOS:000265832400040,photon,2
WOS:000265832400040,quantum information science,1
WOS:000265832400040,quantum state,1
WOS:000265832400040,quantum system,1
WOS:000265832400040,quantum uncertainty relation,1
WOS:000265832400040,relative phase,1
WOS:000265832400040,state,3
WOS:000265832400040,system,1
WOS:000265832400040,transitions,1
WOS:000265832400040,understanding,1
WOS:000265946900003,allow,1
WOS:000265946900003,clauser,1
WOS:000265946900003,common past,1
WOS:000265946900003,distance quantum communication experiment,1
WOS:000265946900003,entangled pair,1
WOS:000265946900003,entanglement,1
WOS:000265946900003,entanglement swap,1
WOS:000265946900003,fact,1
WOS:000265946900003,feature,1
WOS:000265946900003,fidelity,1
WOS:000265946900003,fidelity entanglement,1
WOS:000265946900003,foundation,1
WOS:000265946900003,holt inequality,1
WOS:000265946900003,horne,1
WOS:000265946900003,independent particle,1
WOS:000265946900003,independent source,1
WOS:000265946900003,independent source entanglement,1
WOS:000265946900003,integral constituent,1
WOS:000265946900003,novel test,1
WOS:000265946900003,quantum physic,1
WOS:000265946900003,quantum repeater,1
WOS:000265946900003,shimony,1
WOS:000265946900003,source ensure,1
WOS:000265946900003,standard deviation,1
WOS:000265946900003,technique,1
WOS:000265946900003,time,1
WOS:000265946900048,amplitude,1
WOS:000265946900048,case,1
WOS:000265946900048,characteristic coupling constant,1
WOS:000265946900048,cnot,1
WOS:000265946900048,concurrent rf pulse,1
WOS:000265946900048,detuning,2
WOS:000265946900048,distinct implementation,1
WOS:000265946900048,drive,1
WOS:000265946900048,entangling operation,1
WOS:000265946900048,frequency,1
WOS:000265946900048,generation,1
WOS:000265946900048,josephson phase qubit,1
WOS:000265946900048,local drive,1
WOS:000265946900048,logic,1
WOS:000265946900048,logic gate implementation,1
WOS:000265946900048,nonresonant josephson phase qubit,1
WOS:000265946900048,perfect cnot gate,1
WOS:000265946900048,pulse,1
WOS:000265946900048,qubit,3
WOS:000265946900048,reference,1
WOS:000265946900048,resonance,1
WOS:000265946900048,root iswap,1
WOS:000265946900048,step,1
WOS:000265946900048,step case,1
WOS:000265946900048,theoretical bounds,1
WOS:000265946900048,value,2
WOS:000265947500034,-dimensional general hubbard model,1
WOS:000265947500034,-dimensional optical lattice,1
WOS:000265947500034,anisotropic optical lattice,1
WOS:000265947500034,atom,1
WOS:000265947500034,correlate tunneling,1
WOS:000265947500034,correlated hopping rate,1
WOS:000265947500034,enhancement,1
WOS:000265947500034,fermi gas,1
WOS:000265947500034,ferrell,1
WOS:000265947500034,ground,1
WOS:000265947500034,hopping,1
WOS:000265947500034,hopping rate,1
WOS:000265947500034,inhomogeneous harmonic trap,1
WOS:000265947500034,larkin-ovchinnikov type,1
WOS:000265947500034,negative correlated hopping rate,1
WOS:000265947500034,numerical simulation,1
WOS:000265947500034,order,1
WOS:000265947500034,particle,3
WOS:000265947500034,positive particle,1
WOS:000265947500034,separation patterns,1
WOS:000265947500034,several different phase,1
WOS:000265947500034,site attractive interaction,1
WOS:000265947500034,spin,1
WOS:000265947500034,state,1
WOS:000265947500034,state property,1
WOS:000265947500034,suppression,1
WOS:000265947500034,unusual magnetic phase,1
WOS:000266257700008,care,1
WOS:000266257700008,electron-nuclear interaction,1
WOS:000266257700008,nanotube double quantum dot,1
WOS:000266370500034,algorithm,1
WOS:000266370500034,arbitrary quantum state,2
WOS:000266370500034,basis,1
WOS:000266370500034,classical control signal,1
WOS:000266370500034,complex superposition,1
WOS:000266370500034,creation,1
WOS:000266370500034,deterministic manner,1
WOS:000266370500034,different number,1
WOS:000266370500034,different physical state,1
WOS:000266370500034,electromagnetic resonator,1
WOS:000266370500034,fock,1
WOS:000266370500034,full density matrix,1
WOS:000266370500034,fundamental tenet,1
WOS:000266370500034,harmonic system,1
WOS:000266370500034,measurement,1
WOS:000266370500034,method,1
WOS:000266370500034,microwave resonator,1
WOS:000266370500034,motional state,1
WOS:000266370500034,optical cavity,1
WOS:000266370500034,phase,1
WOS:000266370500034,phase qubit,1
WOS:000266370500034,photon,1
WOS:000266370500034,photon number,1
WOS:000266370500034,physical system,1
WOS:000266370500034,place,1
WOS:000266370500034,preparation,2
WOS:000266370500034,pump photon,1
WOS:000266370500034,quantum computation,1
WOS:000266370500034,quantum mechanic,1
WOS:000266370500034,quantum state,1
WOS:000266370500034,quantum system,1
WOS:000266370500034,resonator,4
WOS:000266370500034,resonator quantum state,1
WOS:000266370500034,same time,1
WOS:000266370500034,significant challenge,1
WOS:000266370500034,simulation,1
WOS:000266370500034,state,2
WOS:000266370500034,state form,1
WOS:000266370500034,superposition principle,1
WOS:000266370500034,wigner tomography,1
WOS:000266544000015,manipulation,1
WOS:000266544000015,multiphoton entanglement,1
WOS:000266544000015,waveguide quantum circuit,1
WOS:000266608600039,addition,1
WOS:000266608600039,atom,1
WOS:000266608600039,atomic ion,3
WOS:000266608600039,classical world,1
WOS:000266608600039,consists,1
WOS:000266608600039,context,1
WOS:000266608600039,control,1
WOS:000266608600039,dead state,1
WOS:000266608600039,degree,2
WOS:000266608600039,deterministic entanglement,1
WOS:000266608600039,different location,1
WOS:000266608600039,distant mechanical oscillator,1
WOS:000266608600039,distinct mechanical oscillator,1
WOS:000266608600039,elementary constituent,1
WOS:000266608600039,entanglement,3
WOS:000266608600039,environment,1
WOS:000266608600039,experiment,1
WOS:000266608600039,feature,1
WOS:000266608600039,formation,1
WOS:000266608600039,freedom,2
WOS:000266608600039,generation,1
WOS:000266608600039,important ingredient,1
WOS:000266608600039,inability,1
WOS:000266608600039,interest,1
WOS:000266608600039,internal state,1
WOS:000266608600039,large complex systems,1
WOS:000266608600039,latter possibility,1
WOS:000266608600039,limitation,1
WOS:000266608600039,matter device,1
WOS:000266608600039,mechanical oscillator,1
WOS:000266608600039,mechanical oscillator hallmark,1
WOS:000266608600039,mesoscopic system,1
WOS:000266608600039,nature,1
WOS:000266608600039,non-locality,1
WOS:000266608600039,number,1
WOS:000266608600039,pair,1
WOS:000266608600039,photon,1
WOS:000266608600039,possibility,2
